iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density
ARG,South America,Argentina,3/9/20,12,0,1.714,1,0,0.143,0.263,0,0.038,0.022,0,0.003,0,0,0,0,0,0,0,0,0,14,778,0.017,0,12,0,0.235,4.3,tests performed,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,45605823,16.177
ARG,South America,Argentina,7/12/20,100166,2657,3193,1845,35,48.286,2196.342,58.26,70.013,40.455,0.767,1.059,1.19,735,16.116,0,0,0,0,0,0,7856,589406,12.924,0.172,11806,0.259,0.308,3.2,tests performed,0,0,0,0,0,0,0,0,0,0,0,0,0,92.59,45605823,16.177
ARG,South America,Argentina,11/14/20,1304846,8468,9713.571,35307,262,279.857,28611.39,185.678,212.99,774.177,5.745,6.136,0.92,4346,95.295,0,0,0,0,0,0,23882,3793368,83.177,0.524,28473,0.624,0.279,3.6,tests performed,0,0,0,0,0,0,0,0,0,0,0,0,0,79.17,45605823,16.177
ARG,South America,Argentina,3/19/21,2234913,8160,7023.714,54476,90,128.286,49004.992,178.925,154.009,1194.497,1.973,2.813,1.1,3534,77.49,0,0,0,0,0,0,51980,8676214,190.244,1.14,46361,1.017,0.14,7.1,tests performed,2939364,2382859,556505,0,134211,120166,6.45,5.22,1.22,0,2635,94759,0.208,70.37,45605823,16.177
ARG,South America,Argentina,7/22/21,4812351,13500,13199.857,103074,256,339.857,105520.538,296.015,289.434,2260.106,5.613,7.452,0.89,4532,99.373,0,0,0,0,0,0,99175,18966038,415.869,2.175,83857,1.839,0.143,7,tests performed,28674364,22876517,5797847,0,410213,362793,62.87,50.16,12.71,0,7955,270085,0.592,75,45605823,16.177
ARG,South America,Argentina,11/24/21,5319867,2234,1361.857,116458,43,20.714,116648.854,48.985,29.861,2553.577,0.943,0.454,1.17,594,13.025,0,0,0,0,0,0,40563,26251636,575.62,0.889,33540,0.735,0.044,22.7,tests performed,0,0,0,0,0,257219,0,0,0,0,5640,53014,0.116,42.59,45605823,16.177
BRA,South America,Brazil,4/2/20,8044,1208,722.714,324,84,35.286,37.59,5.645,3.377,1.514,0.393,0.165,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,74.54,213993441,25.04
BRA,South America,Brazil,8/5/20,2868616,56169,44212,97519,1366,1037.143,13405.159,262.48,206.604,455.71,6.383,4.847,1.02,0,0,0,0,0,0,0,0,0,0,0,0,236773,1.106,0,0,tests performed,0,0,0,0,0,0,0,0,0,0,0,0,0,72.69,213993441,25.04
BRA,South America,Brazil,12/8/20,6681767,47796,41116.714,178281,798,618.286,31224.167,223.353,192.14,833.114,3.729,2.889,1.1,0,0,0,0,0,0,0,0,78492,26153478,122.216,0.367,69493,0.325,0,0,tests performed,0,0,0,0,0,0,0,0,0,0,0,0,0,63.43,213993441,25.04
BRA,South America,Brazil,4/12/21,13530757,39650,70838.571,355242,1711,3083.571,63229.774,185.286,331.032,1660.06,7.996,14.41,0.98,0,0,0,0,0,0,0,0,30356,42869592,200.331,0.142,74289,0.347,0,0,tests performed,31316420,23910515,7405905,0,959524,808270,14.63,11.17,3.46,0,3777,550603,0.257,70.83,213993441,25.04
